id,username,displayname,followers,created_at
1178375305309892609,greenlaw1eleano,Eleanor,2998,2019-09-29T18:25:53+00:00
1981704900284387328,Bohumir451675,Bohumir,5,2025-10-24T12:51:04+00:00
1919136861278359552,Eedejpea9581,Eedejpea,110,2025-05-04T21:07:39+00:00
2587987656,GIGA_Heston,GIGA Heston,152014,2014-06-25T18:36:30+00:00
1224449122108952576,Enki__14,𒀭 Eℵki the Great Wizard ℵ,215,2020-02-03T21:46:45+00:00
1921573049914281984,Qarfau24614,Qarfau,51,2025-05-11T14:28:12+00:00
1908795439123722240,Tuiiscal449623,Tuiiscal,79,2025-04-06T08:14:32+00:00
1772535586017980417,QP8no3QMO55iw86,ArlenePhilemon,67,2024-03-26T08:06:36+00:00
1627598563482927105,Sus1anna1Lee,Susanna Lee,825,2023-02-20T09:18:43+00:00
1385056407620308998,pushvalue,PushValue,1050,2021-04-22T02:22:44+00:00
1319902677040582656,MaudBannwart,ℵ Maud Bannwart,2471,2020-10-24T07:25:03+00:00
1872069935289245696,AlphVibes,David,970,2024-12-26T00:00:56+00:00
1792163908255428608,alphgang,Naber,18,2024-05-19T12:02:38+00:00
18167472,hongchao,h0ngcha0 (ℵ),720,2008-12-16T17:46:58+00:00
3328487863,hei_hei2015,Crypto Kenny,248,2015-08-24T10:48:44+00:00
1348141682198523906,Alexandrian777,AlexandrianWisdom,422,2021-01-10T05:36:51+00:00
1394636781090390016,ron_alph,ron ℵ,1715,2021-05-18T12:51:49+00:00
906113366581809152,Hypolite54,𝕸𝖆𝖝𝖎𝖒𝖆𝖑𝖎𝖘𝖙.𝕳𝖞𝖕𝖔𝖑𝖎𝖙𝖊.Ä𝖑𝖕𝖍. ℵ,273,2017-09-08T11:13:56+00:00
45360211,amaurel,amaurel ⚡,809,2009-06-07T15:44:16+00:00
1641478408713678848,cryptogoldnikan,cryptogoldnikan,2594,2023-03-30T16:32:27+00:00
1876682521800253440,dropcoinalph,AIRDROP,2087,2025-01-07T17:29:26+00:00
1753512720719060992,Alf_Orceur,A L F,281,2024-02-02T20:16:47+00:00
1870724028895244288,Alf__Abet,Alf__Abet,26,2024-12-22T06:52:48+00:00
1866671210865520640,NftBuilder27,Punk,4,2024-12-11T02:28:07+00:00
1494312299259211781,PETMDiaz,"Eloisa D. ( τ, ℵ )",280,2022-02-17T14:06:40+00:00
1600932178598236166,regnumstates,italicus regnum states,950,2022-12-08T19:19:28+00:00
1743377440582344704,DawgNUm,Take0ff,134,2024-01-05T21:02:53+00:00
1733919142925783040,numbergoup_ngu,NUMBER GO UP - $NGU,931,2023-12-10T18:39:37+00:00
1798598744327204864,PropWolf,Wolf Of Prop firms,417,2024-06-06T06:12:28+00:00
189678641,ImLongmoney,SHEISTY ℵ,542,2010-09-11T22:58:27+00:00
957716990768111617,16bitApex,16-Bit Apex 🟡,45154,2018-01-28T20:48:18+00:00
1512478322885754889,octsapuluh,awkard,190,2022-04-08T17:11:54+00:00
1513633640185532423,lulupocketninja,Lulu,2,2022-04-11T21:43:03+00:00
1827255256994213889,ThepsyOBSfFZ,Thepsy,37,2024-08-24T08:02:58+00:00
1792016455879581696,CryptoMillsy2,Crypto Millsy2,3813,2024-05-19T02:16:57+00:00
1771008983240790016,V8GPOhp35PHw8,CathyJoyce,78,2024-03-22T03:00:24+00:00
1825978710467411968,Poslirezka1ZMx,Poslirez,48,2024-08-20T19:30:25+00:00
1633910000287469580,SuperUs07,Super User ℵ,775,2023-03-09T19:18:07+00:00
952695734746435584,0xalphavisuals,"Maybe Alpha, maybe NOT ☠️☠️☠️",361,2018-01-15T00:15:38+00:00
1834424959747457027,TtysmoowYA,Ttysmoo,8,2024-09-13T02:52:48+00:00
1675642793442648065,CryptoBizkit,CryptoBizkit,846,2023-07-02T23:09:19+00:00
1368221376935583745,1EMoNeYBaGs,E MoNeY BaGs 🩸,17623,2021-03-06T15:26:18+00:00
1359596380365467655,Guillau44473110,ℵ StrAtoS ℵ ⚛️,67,2021-02-10T20:13:51+00:00
1546735761189244928,BullRunTimes,Lets.alph,586,2022-07-12T05:58:50+00:00
1501191411353276417,cyxeio,cyxe ℵ,251,2022-03-08T13:41:46+00:00
1833488135352705024,HermesOnChain,Hermes,37,2024-09-10T12:51:09+00:00
468769960,Tyson__151,Tysoℵ,86,2012-01-19T22:08:20+00:00
1460122429905375240,0xTarti,Tarti ℵ,239,2021-11-15T05:48:21+00:00
1308020468675477504,__St4rL0rd__,StℵrL0rd,155,2020-09-21T12:29:24+00:00
